name,city,district,coord,bc_type,road_cond,unit_rent,bound_rent,audit_date,transit_count,industrial_count,mall_count,hub_highway,hub_railway,hub_coach,hub_airport
北站中心公园,深圳,龙华区,"114.02236,22.610368",核心商圈,一般通达,1000.0,1200.0,2024-12-29,1,2,20,0,1,1,0
龙城工业园,深圳,宝安区,"114.214361,22.719893",一般区域,高优通达,1200.0,800.0,2024-12-29,3,1,6,3,0,0,0
宝安海秀路,深圳,宝安区,"113.88503,22.55088",一般区域,一般通达,2000.0,1500.0,2025-02-18,3,1,18,2,4,2,0
宝安沙井南环路东,深圳,宝安区,"113.82534180047998, 22.71442370532992",一般区域,一般通达,900.0,1000.0,2024-12-29,0,0,0,0,0,0,0
龙岗日月时创健康科技园,深圳,龙岗区,"114.079133,22.659912",一般区域,高优通达,1000.0,1000.0,2025-03-12,0,3,7,6,2,0,0
宝安稔田路,深圳,宝安区,"113.830035,22.69996",一般区域,高优通达,800.0,900.0,2025-03-12,1,5,19,0,1,0,4
龙华龙胜,深圳,龙华区,"114.013371,22.645757",一般区域,一般通达,800.0,900.0,2025-01-22,3,4,20,0,0,0,0
南山特发信息港,深圳,南山区,"113.949841,22.550304",核心商圈,一般通达,1600.0,1800.0,2025-03-19,4,0,15,7,2,0,0
龙岗西环路,深圳,龙岗区,"114.111393,22.594771",一般区域,高优通达,888.8,1000.0,2025-03-19,2,0,20,8,2,0,0
龙岗吉政路,深圳,龙岗区,"114.123323,22.610661",一般区域,一般通达,1200.0,1000.0,2025-03-26,2,0,20,0,2,0,0
前进文化广场换电站,广州,天河区,"113.411476,23.111239",次级商圈,一般通达,1300.0,1500.0,2024-09-25,3,3,20,0,0,4,0
江夏第一幼儿园,广州,白云区,"113.280447,23.209691",一般区域,高优通达,800.0,1000.0,2024-10-27,4,3,16,7,3,1,0
三元里新景大厦,广州,白云区,"113.250336,23.172998",次级商圈,高优通达,1300.0,1200.0,2024-10-27,6,4,20,0,3,2,0
白云黄石立交,广州,白云区,"113.263975,23.206365",次级商圈,高优通达,800.0,1000.0,2024-12-29,5,6,20,0,0,0,0
番禺飘峰站,广州,番禺区,"113.305231,22.985855",郊区/偏远,高优通达,600.0,600.0,2024-12-17,2,7,10,4,4,0,1
番禺沙南路站,广州,番禺区,"113.345188,22.948173",一般区域,一般通达,700.0,700.0,2024-12-17,1,4,17,0,1,0,1
畅电棠东,广州,天河区,"113.391466,23.130296",次级商圈,高优通达,1615.3846153846155,1500.0,2024-12-17,4,2,20,3,4,0,0
智井,广州,白云区,"113.236288,23.205692",一般区域,一般通达,769.2307692307693,900.0,2024-12-17,0,5,20,8,3,0,0
番禺东霖超充,广州,番禺区,"113.388481,22.934325",一般区域,高优通达,650.0,750.0,2024-12-17,1,3,12,0,1,3,0
嘉禾长红,广州,白云区,"113.291222,23.256685",一般区域,高优通达,800.0,800.0,2024-12-17,1,0,12,0,0,0,3
华汇国际广场,广州,南沙区,"113.556,22.799864",核心商圈,高优通达,600.0,800.0,2024-12-29,1,0,6,0,0,0,0
一诺汽车服务,广州,白云区,"113.335109,23.27239",一般区域,高优通达,500.0,800.0,2024-12-29,1,0,4,3,1,1,0
广州天河员村,广州,天河区,"113.359553,23.120153",次级商圈,一般通达,1400.0,1600.0,2025-02-26,5,0,14,0,0,0,0
海珠新滘中路,广州,海珠区,"113.26965,23.10218",一般区域,高优通达,1200.0,1200.0,2025-01-22,2,2,20,0,3,0,0
荔湾龙溪大道站,广州,荔湾区,"113.23,23.08",一般区域,高优通达,940.0,1000.0,2025-02-18,4,5,14,0,1,1,0
天河长兴路站,广州,天河区,"113.352966,23.167715",次级商圈,一般通达,1100.0,1200.0,2025-02-18,3,4,10,0,4,10,0
九五科技园,广州,番禺区,"113.317809,22.965946",一般区域,一般通达,700.0,800.0,2025-03-12,0,6,13,2,1,2,0
富怡路,广州,番禺区,"113.412357,22.957876",一般区域,一般通达,800.0,700.0,2025-03-12,0,10,4,3,1,3,1
荔湾广钢新城站,广州,荔湾区,"113.245918,23.053718",次级商圈,高优通达,800.0,800.0,2025-03-19,4,0,7,8,0,0,0
联东U谷,佛山,南海区,"113.18085,23.04476",一般区域,一般通达,653.8461538461538,700.0,2024-12-29,4,0,8,8,0,0,2
伦教北祖路口,佛山,顺德区,"113.21483,22.872967",一般区域,一般通达,630.0,600.0,2024-12-29,2,0,3,0,0,0,0
南海海三路站,佛山,南海区,"113.12751760373872, 23.04978066818718",核心商圈,高优通达,1200.0,750.0,2025-01-22,0,0,0,0,0,0,0
佛山大道中,佛山,禅城区,"113.103933,23.005662",一般区域,高优通达,1150.0,750.0,2025-02-26,4,0,3,0,2,0,2
大良红岗路,佛山,顺德区,"113.249067,22.827825",郊区/偏远,一般通达,730.0,700.0,2025-02-26,0,7,12,0,0,1,0
千灯湖站,佛山,南海区,"113.144184,23.066752",核心商圈,一般通达,900.0,750.0,2025-03-12,2,0,19,0,1,0,2
古大路,佛山,禅城区,"113.06917,23.030535",一般区域,高优通达,765.143,650.0,2025-03-12,0,3,10,1,2,1,0
佛山海八西路（骏威龙）,佛山,南海区,"113.144184,23.066752",核心商圈,一般通达,900.0,750.0,2025-03-19,2,3,19,0,1,0,2
寮步创益广场,东莞,寮步镇,"113.878266,22.966109",一般区域,高优通达,538.4615384615385,600.0,2024-12-17,1,5,2,3,2,1,0
虎门高铁站,东莞,虎门镇,"113.672742,22.863551",次级商圈,高优通达,646.1538461538462,650.0,2024-12-17,3,9,5,0,4,1,0
虎门小捷滘,东莞,虎门镇,"113.69883,22.817175",次级商圈,高优通达,623.0769230769231,650.0,2025-01-22,3,6,15,0,0,0,0
